Дата,Изменение наличных денег в обращении (вне Банка России),Всего,движение средств по государственному внутреннему долгу,изменение задолженности банков по депозитам Федерального казначейства,изменение задолженности банков по операциям репо Федерального казначейства,операции Минфина России по покупке (продаже) иностранной валюты на внутреннем валютном рынке*,Регулирование Банком России обязательных резервов кредитных организаций,Интервенции Банка России на внутреннем валютном рынке,Нетто-объем операций Банка России по предоставлению и абсорбированию ликвидности (без учета операций на внутреннем валютном рынке)
2011-11-29,22.7,17.71,0.0,0.0,0.0,0.0,0.0,-3.76,10.1
2011-11-30,7.53,125.29,0.0,0.0,0.0,0.0,0.0,-3.76,-128.36
2011-12-01,-20.02,12.05,0.0,0.0,0.0,0.0,0.0,-2.94,-79.01
2011-12-02,-36.41,62.35,0.0,0.0,0.0,0.0,0.0,-0.2,-76.93
2011-12-05,7.97,40.08,0.0,0.0,0.0,0.0,0.0,0.0,-32.37
2011-12-06,-3.17,40.06,0.0,0.0,0.0,0.0,0.0,-0.82,-24.12
2011-12-07,-13.59,2.9,0.0,0.0,0.0,0.0,0.0,-3.74,45.37
2011-12-08,-35.78,21.88,0.0,0.0,0.0,0.0,0.0,-3.74,-45.79
2011-12-09,-52.23,37.8,0.0,0.0,0.0,0.0,0.0,-3.76,1.67
2011-12-12,-0.95,-54.79,0.0,0.0,0.0,0.0,0.0,-3.78,228.21
2011-12-13,-18.83,47.8,0.0,0.0,0.0,0.0,0.0,-3.78,97.34
2011-12-14,-27.85,-71.3,0.0,0.0,0.0,0.0,-0.05,-3.8,140.44
2011-12-15,-46.12,-3.96,0.0,0.0,0.0,0.0,1.58,-3.81,158.19
2011-12-16,-59.06,64.72,0.0,0.0,0.0,0.0,-10.36,-3.82,-20.12
2011-12-19,2.54,8.34,0.0,0.0,0.0,0.0,0.0,-3.82,-41.96
2011-12-20,-4.88,-21.89,0.0,0.0,0.0,0.0,0.0,-3.84,36.56
2011-12-21,-15.13,-24.13,0.0,0.0,0.0,0.0,0.0,-6.21,30.07
2011-12-22,-34.12,88.73,0.0,0.0,0.0,0.0,0.0,-3.8,-23.61
2011-12-23,-54.54,53.88,0.0,0.0,0.0,0.0,0.0,-3.74,-39.25
2011-12-26,-19.8,-96.34,0.0,0.0,0.0,0.0,0.01,0.0,221.82
2011-12-27,-33.67,222.59,0.0,0.0,0.0,0.0,0.0,0.0,-72.22
2011-12-28,-58.83,165.89,0.0,0.0,0.0,0.0,0.01,0.0,-94.43
2011-12-29,-111.78,301.42,0.0,0.0,0.0,0.0,0.0,-3.8,-191.59
2011-12-30,-96.08,306.8,0.0,0.0,0.0,0.0,0.0,-3.86,-372.88
2012-01-10,222.54,-45.6,0.0,0.0,0.0,0.0,0.0,0.0,-51.87
2012-01-11,71.88,-97.86,0.0,0.0,0.0,0.0,0.0,-1.57,-56.3
2012-01-12,25.91,-29.56,0.0,0.0,0.0,0.0,0.0,0.0,-60.51
2012-01-13,-5.1,-36.38,0.0,0.0,0.0,0.0,0.0,0.0,106.69
2012-01-16,28.66,-81.0,0.0,0.0,0.0,0.0,0.0,-0.01,-19.27
2012-01-17,14.36,64.85,0.0,0.0,0.0,0.0,0.0,-1.28,-57.08
2012-01-18,6.6,-208.1,0.0,0.0,0.0,0.0,0.0,0.0,90.21
2012-01-19,-5.25,-48.19,0.0,0.0,0.0,0.0,0.0,0.0,56.4
2012-01-20,-14.87,-186.07,0.0,0.0,0.0,0.0,0.0,0.0,-2.31
2012-01-23,32.84,-37.93,0.0,0.0,0.0,0.0,-0.16,0.0,55.4
2012-01-24,28.22,-20.88,0.0,0.0,0.0,0.0,2.82,0.0,3.67
2012-01-25,16.61,-327.37,0.0,0.0,0.0,0.0,-14.38,0.0,259.29
2012-01-26,0.51,31.37,0.0,0.0,0.0,0.0,0.03,0.0,30.11
2012-01-27,-1.45,45.04,0.0,0.0,0.0,0.0,0.02,3.64,-4.53
